Timestamp,P1 : Q1,P1 : Q2,P1 : Q3,P1 : Q4,P1 : Q5,P1 : Q6,P1 : Q7,P1 : Q8,P1 : Q9,P1 : Q10,P1 : Q11,P1 : Q12,P1 : Q13,P1 : Q14,P1 : Q15,P1 : Q16,P1 : Q17,P1 : Q18,P1 : Q19,P1 : Q20,P1 : Q21,P1 : Q22,P1 : Q23,P1 : Q24,P1 : Q25,P1 : Q26,P1 : Q27,P1 : Q28,P1 : Q29,P1 : Q30,P1 : Q31,P1 : Q32,P1 : Q33,P1 : Q34,P1 : Q35,P1 : Q36,P1 : Q37,P1 : Q38,P1 : Q39,P1 : Q40,P1 : Q41,P1 : Q42,P1 : Q43,P1 : Q44,P1 : Q45,P1 : Q46,P1 : Q47,P1 : Q48,P1 : Q49,P1 : Q50,P1 : Q51,P1 : Q52,P1 : Q53,P1 : Q54,P1 : Q55,P1 : Q56,P1 : Q57,P1 : Q58,P1 : Q59,P1 : Q60,P1 : Q61,P1 : Q62,P1 : Q63,P1 : Q64,P1 : Q65,P1 : Q66,P1 : Q67,P1 : Q68,P1 : Q69,P1 : Q70,P1 : Q71,P1 : Q72,P1 : Q73,P1 : Q74,P1 : Q75,P1 : Q76,P1 : Q77,P1 : Q78,P1 : Q79,P1 : Q80,P1 : Q81,P1 : Q82,P1 : Q83,P1 : Q84,P1 : Q85,P1 : Q86,P1 : Q87,P1 : Q88,P1 : Q89,P1 : Q90,P1 : Q91,P1 : Q92,P1 : Q93,P1 : Q94,P1 : Q95,P1 : Q96,P1 : Q97,P1 : Q98,P1 : Q99,P1 : Q100,P2 : Q1,P2 : Q2,P2 : Q3,P2 : Q4,P2 : Q5,P2 : Q6,P2 : Q7,P2 : Q8,P2 : Q9,P2 : Q10,P2 : Q11,P2 : Q12,P2 : Q13,P2 : Q14,P2 : Q15,P2 : Q16,P2 : Q17,P2 : Q18,P2 : Q19,P2 : Q20,P2 : Q21,P2 : Q22,P2 : Q23,P2 : Q24,P2 : Q25,P2 : Q26,P2 : Q27,P2 : Q28,P2 : Q29,P2 : Q30,P2 : Q31,P2 : Q32,P2 : Q33,P2 : Q34,P2 : Q35,P2 : Q36,P2 : Q37,P2 : Q38,P2 : Q39,P2 : Q40,P2 : Q41,P2 : Q42,P2 : Q43,P2 : Q44,P2 : Q45,P2 : Q46,P2 : Q47,P2 : Q48,P2 : Q49,P2 : Q50,P2 : Q51,P2 : Q52,P2 : Q53,P2 : Q54,P2 : Q55,P2 : Q56,P2 : Q57,P2 : Q58,P2 : Q59,P2 : Q60,P2 : Q61,P2 : Q62,P2 : Q63,P2 : Q64,P2 : Q65,P2 : Q66,P2 : Q67,P2 : Q68,P2 : Q69,P2 : Q70,P2 : Q71,P2 : Q72,P2 : Q73,P2 : Q74,P2 : Q75,P2 : Q76,P2 : Q77,P2 : Q78,P2 : Q79,P2 : Q80,P2 : Q81,P2 : Q82,P2 : Q83,P2 : Q84,P2 : Q85,P2 : Q86,P2 : Q87,P2 : Q88,P2 : Q89,P2 : Q90,P2 : Q91,P2 : Q92,P2 : Q93,P2 : Q94,P2 : Q95,P2 : Q96,P2 : Q97,P2 : Q98,P2 : Q99,P2 : Q100,P3 : Q1,P3 : Q2,P3 : Q3,P3 : Q4,P3 : Q5,P3 : Q6,P3 : Q7,P3 : Q8,P3 : Q9,P3 : Q10,P3 : Q11,P3 : Q12,P3 : Q13,P3 : Q14,P3 : Q15,P3 : Q16,P3 : Q17,P3 : Q18,P3 : Q19,P3 : Q20,P3 : Q21,P3 : Q22,P3 : Q23,P3 : Q24,P3 : Q25,P3 : Q26,P3 : Q27,P3 : Q28,P3 : Q29,P3 : Q30,P3 : Q31,P3 : Q32,P3 : Q33,P3 : Q34,P3 : Q35,P3 : Q36,P3 : Q37,P3 : Q38,P3 : Q39,P3 : Q40,P3 : Q41,P3 : Q42,P3 : Q43,P3 : Q44,P3 : Q45,P3 : Q46,P3 : Q47,P3 : Q48,P3 : Q49,P3 : Q50,P3 : Q51,P3 : Q52,P3 : Q53,P3 : Q54,P3 : Q55,P3 : Q56,P3 : Q57,P3 : Q58,P3 : Q59,P3 : Q60,P3 : Q61,P3 : Q62,P3 : Q63,P3 : Q64,P3 : Q65,P3 : Q66,P3 : Q67,P3 : Q68,P3 : Q69,P3 : Q70,P3 : Q71,P3 : Q72,P3 : Q73,P3 : Q74,P3 : Q75,P3 : Q76,P3 : Q77,P3 : Q78,P3 : Q79,P3 : Q80,P3 : Q81,P3 : Q82,P3 : Q83,P3 : Q84,P3 : Q85,P3 : Q86,P3 : Q87,P3 : Q88,P3 : Q89,P3 : Q90,P3 : Q91,P3 : Q92,P3 : Q93,P3 : Q94,P3 : Q95,P3 : Q96,P3 : Q97,P3 : Q98,P3 : Q99,P3 : Q100,P4 : Q1,P4 : Q2,P4 : Q3,P4 : Q4,P4 : Q5,P4 : Q6,P4 : Q7,P4 : Q8,P4 : Q9,P4 : Q10,P4 : Q11,P4 : Q12,P4 : Q13,P4 : Q14,P4 : Q15,P4 : Q16,P4 : Q17,P4 : Q18,P4 : Q19,P4 : Q20,P4 : Q21,P4 : Q22,P4 : Q23,P4 : Q24,P4 : Q25,P4 : Q26,P4 : Q27,P4 : Q28,P4 : Q29,P4 : Q30,P4 : Q31,P4 : Q32,P4 : Q33,P4 : Q34,P4 : Q35,P4 : Q36,P4 : Q37,P4 : Q38,P4 : Q39,P4 : Q40,P4 : Q41,P4 : Q42,P4 : Q43,P4 : Q44,P4 : Q45,P4 : Q46,P4 : Q47,P4 : Q48,P4 : Q49,P4 : Q50,P4 : Q51,P4 : Q52,P4 : Q53,P4 : Q54,P4 : Q55,P4 : Q56,P4 : Q57,P4 : Q58,P4 : Q59,P4 : Q60,P4 : Q61,P4 : Q62,P4 : Q63,P4 : Q64,P4 : Q65,P4 : Q66,P4 : Q67,P4 : Q68,P4 : Q69,P4 : Q70,P4 : Q71,P4 : Q72,P4 : Q73,P4 : Q74,P4 : Q75,P4 : Q76,P4 : Q77,P4 : Q78,P4 : Q79,P4 : Q80,P4 : Q81,P4 : Q82,P4 : Q83,P4 : Q84,P4 : Q85,P4 : Q86,P4 : Q87,P4 : Q88,P4 : Q89,P4 : Q90,P4 : Q91,P4 : Q92,P4 : Q93,P4 : Q94,P4 : Q95,P4 : Q96,P4 : Q97,P4 : Q98,P4 : Q99,P4 : Q100
2/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,
2/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2026,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,
2/25/2026,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
